iter	Logloss
0	0.6897913215
1	0.6858007022
2	0.6821953939
3	0.6778588325
4	0.6746288652
5	0.671730572
6	0.6692554923
7	0.6679352392
8	0.6647099574
9	0.661879136
10	0.658062163
11	0.6561420078
12	0.654439143
13	0.6517306384
14	0.6493231016
15	0.6484408743
16	0.6466194593
17	0.6431128006
18	0.6414740508
19	0.6388438151
20	0.6355115962
21	0.6332104748
22	0.6318653754
23	0.6307147006
24	0.6286316718
25	0.6271342217
26	0.6255226207
27	0.6244664536
28	0.6225825875
29	0.6214346098
30	0.6203539064
31	0.6186667098
32	0.616619784
33	0.6144287291
34	0.6129713326
35	0.6122211184
36	0.6093473952
37	0.6078246316
38	0.6065740087
39	0.6053959202
40	0.6042174363
41	0.603146325
42	0.6019379814
43	0.5995321585
44	0.5986454512
45	0.5974736021
46	0.5955271463
47	0.5940394171
48	0.592968582
49	0.5919833895
50	0.5912759817
51	0.5893793523
52	0.588595372
53	0.5874072876
54	0.5861545984
55	0.585534679
56	0.5846330786
57	0.5830213002
58	0.5821517826
59	0.5813318758
60	0.5805634418
61	0.5795527826
62	0.5784663164
63	0.5772901806
64	0.5753251911
65	0.5742073555
66	0.5727552421
67	0.5717802622
68	0.5698607936
69	0.5688959029
70	0.5669779031
71	0.5658190427
72	0.5644562023
73	0.5635886687
74	0.5619756944
75	0.561089888
76	0.5587699225
77	0.5575068711
78	0.5567933402
79	0.5562397646
80	0.5550888689
81	0.5537126814
82	0.5528164134
83	0.551443278
84	0.5507954079
85	0.5494045371
86	0.5485815729
87	0.5476635583
88	0.5473192302
89	0.546154318
90	0.5451645367
91	0.5436415378
92	0.5418285838
93	0.5399309253
94	0.5385990199
95	0.5373031631
96	0.5356455148
97	0.5342050628
98	0.5329551323
99	0.5320888881
100	0.5311267091
101	0.5302062401
102	0.5300825211
103	0.5289728119
104	0.5273369473
105	0.5267788005
106	0.5259316995
107	0.5251438234
108	0.5230370685
109	0.5210049338
110	0.5201690167
111	0.5193787184
112	0.5185080836
113	0.5179306536
114	0.5165198048
115	0.5153732286
116	0.5143232598
117	0.5127981062
118	0.5116803355
119	0.5100693661
120	0.5080981062
121	0.5067470092
122	0.5062817084
123	0.5045524877
124	0.5032283398
125	0.5024342863
126	0.5007600306
127	0.4997128985
128	0.4989389658
129	0.4977832035
130	0.4954261592
131	0.4943673939
132	0.4936003402
133	0.4929577886
134	0.4922945756
135	0.4914574946
136	0.4901646531
137	0.4889534662
138	0.4874059981
139	0.4864485969
140	0.4846740671
141	0.4838198963
142	0.4824369712
143	0.4808544623
144	0.4796943824
145	0.4777891056
146	0.4766730977
147	0.4753176321
148	0.473186688
149	0.4717758083
150	0.4707296073
151	0.469103971
152	0.4680175253
153	0.4672040398
154	0.4651983409
155	0.4645304018
156	0.4630017497
157	0.4617731218
158	0.4608486125
159	0.4604296177
160	0.4591724109
161	0.4576656278
162	0.4550262478
163	0.4531382579
164	0.451897776
165	0.4512663581
166	0.4490435914
167	0.4477293169
168	0.4460142137
169	0.4445300703
170	0.4430156796
171	0.4408532131
172	0.4400229392
173	0.4390479356
174	0.4374892717
175	0.4355833084
176	0.434378425
177	0.4325286119
178	0.4310523929
179	0.4288482408
180	0.4269678675
181	0.4254781948
182	0.4231604347
183	0.4215931132
184	0.4200102712
185	0.4191622215
186	0.4175844002
187	0.4156456323
188	0.4140230921
189	0.4126993507
190	0.4114672653
191	0.4092405304
192	0.4079471165
193	0.4072255101
194	0.4056979938
195	0.4041781051
196	0.4028628712
197	0.401220151
198	0.4000180016
199	0.3971498537
