iter	Passed	Remaining
0	36	7294
1	42	4166
2	69	4556
3	82	4019
4	91	3573
5	108	3498
6	120	3323
7	136	3264
8	141	3012
9	146	2787
10	156	2697
11	158	2489
12	165	2379
13	176	2346
14	182	2252
15	188	2171
16	195	2107
17	204	2070
18	210	2007
19	216	1950
20	228	1949
21	234	1895
22	254	1959
23	263	1928
24	277	1941
25	279	1872
26	283	1814
27	285	1750
28	287	1697
29	290	1644
30	292	1594
31	298	1568
32	305	1545
33	314	1535
34	335	1582
35	344	1570
36	354	1563
37	360	1538
38	370	1528
39	387	1550
40	395	1533
41	408	1536
42	414	1514
43	427	1516
44	443	1527
45	449	1505
46	461	1503
47	473	1500
48	487	1501
49	490	1470
50	506	1479
51	519	1479
52	528	1465
53	538	1454
54	546	1439
55	558	1435
56	566	1420
57	579	1418
58	588	1405
59	600	1401
60	608	1386
61	620	1380
62	625	1360
63	631	1342
64	639	1327
65	647	1314
66	651	1293
67	667	1295
68	674	1280
69	678	1259
70	692	1258
71	696	1237
72	710	1235
73	719	1225
74	731	1219
75	742	1212
76	753	1204
77	765	1197
78	768	1177
79	785	1178
80	794	1166
81	807	1162
82	815	1149
83	825	1140
84	836	1131
85	850	1127
86	860	1118
87	875	1114
88	889	1109
89	901	1101
90	914	1095
91	928	1089
92	939	1080
93	946	1067
94	953	1054
95	964	1044
96	976	1037
97	991	1032
98	1001	1021
99	1013	1013
100	1027	1007
101	1047	1006
102	1071	1008
103	1080	997
104	1087	984
105	1102	977
106	1114	968
107	1128	961
108	1141	952
109	1151	942
110	1167	936
111	1178	926
112	1195	920
113	1207	911
114	1220	901
115	1226	888
116	1241	880
117	1253	871
118	1261	858
119	1277	851
120	1297	846
121	1320	844
122	1334	835
123	1342	823
124	1350	810
125	1355	795
126	1368	786
127	1376	774
128	1384	762
129	1391	749
130	1397	736
131	1413	728
132	1420	715
133	1432	705
134	1459	702
135	1477	695
136	1485	683
137	1497	672
138	1506	661
139	1518	650
140	1528	639
141	1541	629
142	1555	619
143	1565	608
144	1581	599
145	1594	589
146	1608	579
147	1624	570
148	1636	560
149	1650	550
150	1666	540
151	1681	530
152	1694	520
153	1707	510
154	1724	500
155	1741	491
156	1754	480
157	1765	469
158	1778	458
159	1789	447
160	1801	436
161	1811	424
162	1825	414
163	1839	403
164	1853	393
165	1865	382
166	1882	371
167	1899	361
168	1912	350
169	1927	340
170	1950	330
171	1960	319
172	1972	307
173	1986	296
174	1996	285
175	2006	273
176	2017	262
177	2029	250
178	2046	240
179	2057	228
180	2068	217
181	2075	205
182	2086	193
183	2097	182
184	2105	170
185	2116	159
186	2125	147
187	2133	136
188	2144	124
189	2157	113
190	2163	101
191	2188	91
192	2201	79
193	2212	68
194	2225	57
195	2230	45
196	2251	34
197	2261	22
198	2275	11
199	2286	0
